round,peer_0,peer_1,peer_2,peer_3,peer_4,peer_5,peer_6,peer_7,peer_8,peer_9,peer_10,peer_11,peer_12,peer_13,peer_14,peer_15,peer_16,peer_17,peer_18,peer_19,peer_20,peer_21,peer_22,peer_23,peer_24,peer_25,peer_26,peer_27,peer_28,peer_29,peer_30,peer_31,peer_32,peer_33,peer_34,peer_35,peer_36,peer_37,peer_38,peer_39,peer_40,peer_41,peer_42,peer_43,peer_44,peer_45,peer_46,peer_47,peer_48,peer_49,peer_50,peer_51,peer_52,peer_53,peer_54,peer_55,peer_56,peer_57,peer_58,peer_59
0,4.97,5.0,5.0,5.0,5.0,4.97,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.97,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.97,5.0,5.0,4.97,5.0,5.0,5.0,5.0,5.0,4.97,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.97,5.0,5.0,4.97,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,4.97,5.0,4.97,5.0,4.97,4.97,5.0,4.97,5.0,5.0,5.0,5.0,5.0,5.0,4.97,4.97,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9399999999999995,5.0,5.0,4.9399999999999995,5.0,5.07,5.0,5.0,5.0,4.97,5.0,5.0,4.97,5.0,5.0,5.0,5.0,5.0,5.0,4.97,5.0,5.07,4.97,5.0,5.0,4.97,5.0,5.07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,4.97,5.0,4.97,5.0,4.97,4.97,5.0,4.97,5.0,5.0,5.0,5.0,4.97,4.97,4.9399999999999995,4.97,5.0,5.04,5.0,4.97,4.97,5.0,5.0,5.0,4.9399999999999995,5.0,5.0,4.9399999999999995,5.0,5.07,5.07,5.0,5.0,4.97,5.0,4.97,4.97,5.0,5.0,5.0,4.97,5.0,4.97,4.97,5.0,5.07,4.97,5.0,5.0,4.97,5.0,5.04,4.97,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3,4.97,4.97,4.97,5.0,4.97,4.97,5.0,4.97,5.0,5.0,5.0,5.0,4.9399999999999995,4.97,4.9399999999999995,4.97,5.0,5.04,5.0,4.9399999999999995,4.97,4.97,5.0,5.0,4.9399999999999995,5.0,5.0,4.9399999999999995,5.0,5.07,5.04,5.0,5.0,5.04,5.0,4.97,4.97,4.97,5.0,5.0,4.97,5.0,4.97,4.97,5.0,5.07,4.97,5.0,5.0,4.9399999999999995,5.0,5.04,4.9399999999999995,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4,4.97,4.9399999999999995,4.9399999999999995,5.0,4.9399999999999995,4.97,5.0,4.97,5.0,5.0,4.97,5.0,4.9399999999999995,4.97,4.909999999999999,4.97,5.0,5.04,4.97,4.9399999999999995,4.97,4.9399999999999995,4.97,5.0,4.9399999999999995,5.0,5.0,4.9399999999999995,5.0,5.07,5.04,5.0,5.0,5.04,5.0,4.97,4.97,4.97,4.97,5.0,4.97,5.0,4.97,4.97,5.0,5.07,4.97,5.0,5.0,4.9399999999999995,5.0,5.04,4.9399999999999995,5.0,5.0,5.0,5.0,3.6199999999999997,5.0,5.0
5,4.9399999999999995,4.9399999999999995,4.9399999999999995,5.0,4.9399999999999995,4.97,5.0,4.9399999999999995,5.0,4.97,5.04,4.97,4.9399999999999995,4.97,4.909999999999999,4.97,5.0,5.04,4.97,4.9399999999999995,4.97,4.9399999999999995,4.97,5.0,4.9399999999999995,5.0,4.97,4.9399999999999995,5.0,5.07,5.11,5.0,5.0,5.01,5.0,4.76,4.97,4.97,4.97,4.97,4.97,5.0,4.97,4.97,5.0,5.07,4.97,5.0,5.0,4.909999999999999,5.0,5.04,4.9399999999999995,5.0,5.0,5.0,5.0,3.59,5.0,5.0
6,4.9399999999999995,4.9399999999999995,4.9399999999999995,5.0,5.01,4.97,5.0,4.9399999999999995,5.0,4.97,5.04,4.97,4.9399999999999995,4.9399999999999995,4.909999999999999,4.97,5.0,5.04,4.97,4.909999999999999,4.97,4.9399999999999995,4.97,5.0,4.9399999999999995,5.0,4.52,4.9399999999999995,5.0,5.07,5.11,5.0,5.0,5.01,5.0,4.76,4.97,4.97,4.97,4.97,4.97,5.0,4.97,4.97,5.0,5.04,4.97,4.97,5.0,4.909999999999999,5.0,5.01,4.9399999999999995,5.0,5.0,4.97,5.0,3.59,5.0,5.0
7,4.9399999999999995,4.9399999999999995,4.9399999999999995,5.0,5.01,4.97,5.0,4.909999999999999,5.0,4.97,5.04,4.97,4.9399999999999995,4.9399999999999995,4.909999999999999,4.97,5.0,5.04,4.97,4.909999999999999,4.9399999999999995,4.909999999999999,4.97,5.0,4.9399999999999995,5.0,4.489999999999999,4.909999999999999,4.97,5.04,5.11,4.97,5.0,5.01,5.0,4.76,4.9399999999999995,4.97,4.9399999999999995,4.97,4.97,5.0,4.97,4.9399999999999995,5.0,5.04,4.97,4.97,5.0,4.909999999999999,5.0,5.01,4.9399999999999995,5.0,5.0,4.97,5.0,3.59,4.97,5.0
8,4.9399999999999995,4.9399999999999995,4.9399999999999995,5.0,5.01,4.97,5.0,4.879999999999999,5.0,4.9399999999999995,5.04,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.909999999999999,4.9399999999999995,5.0,5.04,4.97,4.909999999999999,4.909999999999999,4.909999999999999,4.97,5.0,4.9399999999999995,5.0,4.489999999999999,4.879999999999999,4.97,5.04,5.08,4.97,5.0,5.01,5.0,4.76,4.9399999999999995,4.97,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.97,4.97,4.9399999999999995,4.97,5.01,4.97,4.97,5.0,4.909999999999999,4.97,5.01,4.9399999999999995,5.0,5.0,4.9399999999999995,5.0,3.59,4.97,5.0
9,4.9399999999999995,4.9399999999999995,4.9399999999999995,5.0,5.01,4.97,5.0,4.879999999999999,5.0,4.9399999999999995,5.04,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.909999999999999,4.9399999999999995,5.0,5.04,4.97,4.909999999999999,4.909999999999999,4.879999999999999,4.97,5.0,4.9399999999999995,5.0,4.459999999999999,4.879999999999999,4.97,5.04,5.08,4.97,5.0,5.01,5.0,4.76,4.9399999999999995,4.97,4.9399999999999995,4.909999999999999,4.9399999999999995,4.97,4.97,4.9399999999999995,4.97,5.01,4.97,4.97,5.0,4.909999999999999,4.97,5.01,4.9399999999999995,4.97,5.0,4.909999999999999,5.0,3.59,4.9399999999999995,5.0
